"Etunimi","Lukumäärä"
"Maria",199 564
"Helena",123 162
"Anneli",120 735
"Johanna",112 280
"Kaarina",96 652
"Marjatta",86 358
"Hannele",86 226
"Kristiina",75 151
"Emilia",68 824
"Liisa",66 596
"Elina",64 222
"Sofia",61 052
"Tuulikki",58 303
"Maarit",57 549
"Susanna",56 860
"Annikki",55 002
"Leena",48 156
"Katariina",48 050
"Anna",46 233
"Marja",44 134
"Sinikka",42 765
"Inkeri",40 840
"Riitta",38 611
"Aino",36 280
"Anne",34 960
"Tuula",34 647
"Kyllikki",34 637
"Päivi",33 632
"Orvokki",32 002
"Ritva",31 436
"Maija",31 280
"Tellervo",30 836
"Karoliina",30 611
"Pauliina",29 962
"Pirjo",29 664
"Minna",29 602
"Sari",29 300
"Irmeli",28 618
"Eveliina",27 619
"Tiina",27 529
"Eeva",27 071
"Laura",26 814
"Marika",26 536
"Elisabet",26 063
"Tarja",26 056
"Satu",25 004
"Pirkko",24 648
"Mari",24 423
"Hanna",24 197
"Heidi",23 809
"Annika",23 489
"Marita",23 384
"Seija",23 322
"Anja",23 089
"Sirpa",23 078
"Ilona",23 010
"Jaana",22 879
"Amanda",22 499
"Sanna",22 482
"Irene",22 429
"Raija",22 316
"Sisko",22 084
"Anita",21 971
"Julia",21 850
"Eija",21 697
"Eila",21 693
"Kirsi",21 686
"Marianne",21 494
"Matilda",20 911
"Katriina",20 898
"Merja",20 861
"Aurora",20 465
"Olivia",20 442
"Elisabeth",20 160
"Anni",19 927
"Arja",19 879
"Tuulia",19 815
"Marjaana",19 675
"Ulla",19 667
"Kaisa",19 561
"Linnea",19 533
"Marketta",19 424
"Paula",19 402
"Elisa",19 165
"Helmi",18 558
"Terttu",18 076
"Sirkka",18 050
"Jenni",18 014
"Iida",17 228
"Emma",17 086
"Katja",17 065
"Heli",16 504
"Mirjami",16 161
"Nina",15 955
"Kirsti",15 342
"Maaria",15 291
"Anniina",15 282
"Mirja",15 118
"Hilkka",14 984
"Sara",14 757
"Birgitta",14 691
"Raili",14 560
"Katri",14 408
"Ella",14 303
"Ida",14 220
"Aleksandra",13 962
"Suvi",13 960
"Kaija",13 585
"Riikka",13 509
"Marjut",13 452
"Anu",13 431
"Alexandra",13 417
"Tuija",12 991
"Saara",12 833
"Niina",12 406
"Pia",12 304
"Kerttu",12 207
"Lea",12 085
"Kristina",11 952
"Aila",11 885
"Noora",11 842
"Marjo",11 645
"Jenna",11 574
"Tanja",11 543
"Irma",11 493
"Leila",11 477
"Veera",11 353
"Henna",11 340
"Marja-Leena",11 338
"Lotta",11 279
"Ellen",11 259
"Kati",11 043
"Aulikki",10 927
"Margareta",10 787
"Irja",10 666
"Alina",10 596
"Elsa",10 527
"Elli",10 469
"Hellevi",10 333
"Marja-Liisa",10 327
"Maritta",10 193
"Outi",10 133
"Milla",10 096
"Emmi",9 999
"Mirjam",9 842
"Venla",9 792
"Taina",9 770
"Mervi",9 735
"Miia",9 715
"Päivikki",9 704
"Aada",9 654
"Erika",9 599
"Siiri",9 518
"Virpi",9 452
"Helinä",9 444
"Anna-Liisa",9 325
"Vilhelmiina",9 308
"Sini",9 258
"Jonna",9 234
"Tiia",8 984
"Sonja",8 926
"Margit",8 788
"Josefiina",8 485
"Jasmin",8 414
"Sanni",8 267
"Lilja",8 210
"Oona",8 156
"Alisa",8 139
"Vilma",8 131
"Aune",7 984
"Mia",7 961
"Terhi",7 935
"Linda",7 809
"Mira",7 720
"Roosa",7 564
"Nea",7 443
"Teija",7 289
"Viivi",7 207
"Essi",7 174
"Eliisa",7 151
"Maire",7 091
"Martta",7 090
"Carita",6 971
"Christina",6 955
"Piia",6 939
"Iiris",6 917
"Viola",6 707
"Esteri",6 696
"Taru",6 678
"Hillevi",6 665
"Marjukka",6 623
"Iina",6 621
"Petra",6 588
"Tuuli",6 582
"Krista",6 576
"Marie",6 572
"Juulia",6 528
"Airi",6 515
"Annukka",6 395
"Isabella",6 371
"Eva",6 347
"Mikaela",6 312
"Silja",6 274
"Vuokko",6 263
"Enni",6 247
"Inka",6 186
"Aili",6 058
"Henriikka",5 987
"Jenny",5 950
"Salla",5 926
"Aliisa",5 894
"Susanne",5 817
"Milja",5 800
"Pinja",5 800
"Riina",5 754
"Camilla",5 719
"Erja",5 713
"Katarina",5 606
"Ronja",5 534
"Sylvia",5 527
"Helvi",5 524
"Onerva",5 446
"Lyydia",5 444
"Reetta",5 440
"Elena",5 401
"Eevi",5 399
"Alice",5 195
"Eerika",5 191
"Elise",5 161
"Jessica",5 051
"Amalia",4 881
"Meri",4 871
"Anitta",4 848
"Minttu",4 846
"Ester",4 845
"Cecilia",4 822
"Soile",4 771
"Maija-Liisa",4 749
"Elvi",4 694
"Saana",4 671
"Salme",4 616
"Meeri",4 603
"Asta",4 557
