"Sukunimi","Yhteensä"
"Korhonen",22 204
"Virtanen",21 578
"Mäkinen",19 874
"Nieminen",19 668
"Mäkelä",18 809
"Hämäläinen",18 026
"Laine",17 709
"Heikkinen",17 218
"Koskinen",16 918
"Järvinen",15 883
"Lehtonen",15 643
"Lehtinen",14 780
"Saarinen",14 536
"Salminen",14 310
"Heinonen",14 137
"Heikkilä",14 059
"Niemi",14 029
"Kinnunen",13 857
"Salonen",13 610
"Turunen",13 119
"Salo",12 798
"Laitinen",12 525
"Tuominen",12 241
"Rantanen",12 233
"Karjalainen",12 206
"Jokinen",11 871
"Mattila",11 797
"Savolainen",10 966
"Lahtinen",10 884
"Ahonen",10 789
"Ojala",10 587
"Leppänen",10 525
"Kallio",9 914
"Väisänen",9 872
"Leinonen",9 862
"Hiltunen",9 849
"Miettinen",9 785
"Pitkänen",9 750
"Aaltonen",9 663
"Manninen",9 636
"Koivisto",9 468
"Hakala",9 445
"Anttila",9 411
"Laaksonen",9 008
"Hirvonen",8 919
"Räsänen",8 883
"Lehto",8 864
"Laakso",8 750
"Toivonen",8 682
"Rantala",8 618
"Mustonen",8 562
"Aalto",8 515
"Niemelä",8 268
"Nurmi",8 249
"Moilanen",8 229
"Peltonen",8 217
"Seppälä",8 089
"Pulkkinen",8 052
"Hänninen",8 019
"Saari",7 906
"Lappalainen",7 870
"Kettunen",7 857
"Partanen",7 818
"Kemppainen",7 644
"Kauppinen",7 635
"Koskela",7 632
"Seppänen",7 565
"Ahola",7 542
"Salmi",7 515
"Lahti",7 506
"Huttunen",7 295
"Ikonen",7 250
"Aho",7 239
"Suominen",7 196
"Kärkkäinen",7 124
"Pesonen",7 086
"Halonen",7 078
"Nyman",6 958
"Mikkonen",6 894
"Koponen",6 885
"Johansson",6 879
"Peltola",6 879
"Oksanen",6 805
"Lindholm",6 799
"Niskanen",6 797
"Vainio",6 762
"Heiskanen",6 696
"Mikkola",6 653
"Honkanen",6 556
"Koski",6 556
"Immonen",6 501
"Nurminen",6 426
"Vuorinen",6 415
"Harju",6 373
"Määttä",6 311
"Kokkonen",6 304
"Rissanen",6 217
"Karppinen",6 211
"Mäki",6 142
"Rajala",6 005
"Laukkanen",6 004
"Heino",5 989
"Juntunen",5 973
"Jääskeläinen",5 889
"Rautiainen",5 877
"Kangas",5 876
"Parviainen",5 868
"Keränen",5 854
"Hartikainen",5 810
"Paananen",5 753
"Leino",5 677
"Karlsson",5 668
"Mäenpää",5 641
"Lindström",5 597
"Ruotsalainen",5 562
"Martikainen",5 538
"Hyvärinen",5 482
"Hakkarainen",5 450
"Kokko",5 448
"Uusitalo",5 448
"Laurila",5 405
"Tikkanen",5 372
"Toivanen",5 353
"Viitanen",5 322
"Nevalainen",5 309
"Salmela",5 204
"Makkonen",5 148
"Nykänen",5 145
"Leskinen",5 127
"Holopainen",5 057
"Kuusisto",5 051
"Häkkinen",5 040
"Hietala",5 003
"Andersson",4 953
"Ranta",4 950
"Tamminen",4 946
"Eriksson",4 918
"Korpela",4 916
"Härkönen",4 908
"Kukkonen",4 872
"Karhu",4 818
"Hyvönen",4 816
"Karvonen",4 811
"Jaakkola",4 795
"Tiainen",4 767
"Pasanen",4 763
"Jokela",4 738
"Väänänen",4 656
"Saarela",4 646
"Kosonen",4 620
"Sillanpää",4 593
"Malinen",4 549
"Rautio",4 547
"Kujala",4 529
"Virta",4 520
"Lindroos",4 452
"Autio",4 445
"Timonen",4 443
"Kivelä",4 422
"Lindqvist",4 396
"Kolehmainen",4 326
"Hokkanen",4 324
"Jussila",4 323
"Valtonen",4 322
"Rinne",4 307
"Lampinen",4 303
"Räisänen",4 301
"Tolonen",4 256
"Huhtala",4 228
"Nissinen",4 216
"Nousiainen",4 176
"Eskelinen",4 137
"Vartiainen",4 107
"Koivula",4 096
"Laakkonen",4 072
"Asikainen",4 052
"Lepistö",4 045
"Lindberg",4 036
"Koistinen",4 002
"Kuusela",3 993
"Luoma",3 923
"Pelkonen",3 907
"Kyllönen",3 893
"Liimatainen",3 886
"Kulmala",3 874
"Hautala",3 865
"Tolvanen",3 828
"Tuovinen",3 814
"Pietilä",3 785
"Helenius",3 783
"Penttinen",3 765
"Koivunen",3 756
"Viljanen",3 755
"Huotari",3 742
"Voutilainen",3 730
"Riikonen",3 717
"Pennanen",3 715
"Hyttinen",3 711
"Luukkonen",3 701
"Marttila",3 697
"Suhonen",3 694
"Hietanen",3 686
"Pakarinen",3 665
"Repo",3 658
"Karttunen",3 652
"Järvenpää",3 646
"Takala",3 644
"Nuutinen",3 636
"Kumpulainen",3 632
"Haavisto",3 630
"Ketola",3 609
"Lindgren",3 595
"Ronkainen",3 583
"Eskola",3 568
"Eronen",3 554
"Haapala",3 548
"Eklund",3 543
"Myllymäki",3 531
"Lehtimäki",3 522
"Auvinen",3 488
"Kainulainen",3 482
"Penttilä",3 472
"Huovinen",3 466
"Saastamoinen",3 462
"Vuori",3 423
"Paavola",3 417
"Liukkonen",3 412
"Juvonen",3 401
"Helin",3 389
"Komulainen",3 374
"Hautamäki",3 331
"Viitala",3 331
"Keskinen",3 314
"Kivimäki",3 288
"Markkanen",3 287
"Taskinen",3 276
"Ollila",3 272
"Tuomi",3 257
"Lähteenmäki",3 252
"Rintala",3 252
"Ollikainen",3 248
"Silvennoinen",3 242
"Suomalainen",3 234
"Välimäki",3 209
"Kähkönen",3 200
"Sipilä",3 194
"Perälä",3 192
"Gustafsson",3 174
"Halme",3 167
"Lehtola",3 160
"Blomqvist",3 137
"Kuosmanen",3 137
"Nylund",3 126
"Kortelainen",3 117
"Turpeinen",3 106
"Hannula",3 105
"Kantola",3 088
"Tanskanen",3 069
"Meriläinen",3 062
"Matilainen",3 061
"Lindfors",3 059
"Hytönen",3 047
"Matikainen",3 008
"Jalonen",2 987
"Helminen",2 946
"Jansson",2 929
"Holm",2 928
"Kivistö",2 924
"Ylitalo",2 920
"Alatalo",2 917
"Kanerva",2 903
"Varis",2 899
"Tervo",2 897
"Rytkönen",2 892
"Puhakka",2 890
"Soininen",2 870
"Henriksson",2 866
"Kiviniemi",2 864
"Väyrynen",2 859
"Erkkilä",2 847
"Kurki",2 822
"Pajunen",2 819
"Tarvainen",2 815
"Taipale",2 813
"Karvinen",2 811
"Rauhala",2 811
"Pääkkönen",2 803
"Nyberg",2 785
"Ojanen",2 781
"Berg",2 778
"Kilpeläinen",2 764
"Puustinen",2 756
"Laiho",2 753
"Mäntylä",2 746
"Oinonen",2 727
"Peltoniemi",2 727
"Kankaanpää",2 716
"Mattsson",2 711
"Lassila",2 707
"Kuisma",2 704
"Lehikoinen",2 692
"Piirainen",2 689
"Tikka",2 684
"Backman",2 678
"Räty",2 662
"Haapanen",2 654
"Pirinen",2 653
"Kivinen",2 644
"Jaatinen",2 637
"Niiranen",2 626
"Pohjola",2 607
"Lipponen",2 602
"Parkkinen",2 601
"Korpi",2 599
"Kärki",2 599
"Jauhiainen",2 590
"Haverinen",2 587
"Kauppila",2 566
"Moisio",2 555
"Kaikkonen",2 551
"Valkonen",2 542
"Keinänen",2 539
"Jäntti",2 538
"Vesterinen",2 532
"Venäläinen",2 530
"Ylönen",2 528
"Ruuskanen",2 517
"Haataja",2 505
"Raatikainen",2 496
"Sainio",2 474
"Mononen",2 473
"Rossi",2 471
"Holmberg",2 468
"Syrjälä",2 448
"Järvelä",2 447
"Anttonen",2 438
"Nikula",2 432
"Kovanen",2 418
"Holmström",2 415
"Tirkkonen",2 391
"Pekkala",2 382
"Lilja",2 369
"Ahokas",2 366
"Pehkonen",2 364
"Palomäki",2 359
"Huuskonen",2 341
"Latvala",2 330
"Karhunen",2 329
"Vuorela",2 328
"Männistö",2 327
"Sallinen",2 319
"Kuronen",2 318
"Kämäräinen",2 312
"Valkama",2 312
"Seppä",2 311
"Oikarinen",2 302
"Sirén",2 301
"Konttinen",2 296
"Tiihonen",2 295
"Elo",2 294
"Linna",2 294
"Muhonen",2 291
"Alanko",2 285
"Sjöblom",2 272
"Alanen",2 251
"Reinikainen",2 246
"Salomaa",2 240
"Riihimäki",2 237
"Soini",2 233
"Ryynänen",2 229
"Sirviö",2 226
"Simola",2 220
"Eloranta",2 212
"Keskitalo",2 204
"Kiuru",2 202
"Rönkkö",2 200
"Pekkarinen",2 199
"Lammi",2 190
"Forsman",2 185
"Marttinen",2 185
"Kari",2 180
"Airaksinen",2 175
"Nevala",2 166
"Haapaniemi",2 158
"Järvi",2 152
"Pöllänen",2 144
"Simonen",2 140
"Aro",2 134
"Holappa",2 130
"Ylinen",2 130
"Uotila",2 126
"Antikainen",2 124
"Puranen",2 117
"Sutinen",2 113
"Ihalainen",2 111
"Grönroos",2 107
"Lankinen",2 099
"Snellman",2 098
"Sihvonen",2 095
"Kalliokoski",2 089
"Tähtinen",2 088
"Kauppi",2 082
"Joensuu",2 074
"Aarnio",2 064
"Paavilainen",2 063
"Toivola",2 053
"Lehti",2 051
"Kauhanen",2 039
"Virolainen",2 025
"Sundström",2 024
"Kiiskinen",2 021
"Sivonen",2 015
"Törmänen",1 997
"Sormunen",1 996
"Friman",1 995
"Luoto",1 991
"Hassinen",1 990
"Eerola",1 988
"Koivuniemi",1 983
"Luostarinen",1 980
"Suvanto",1 970
"Ruohonen",1 968
"Westerlund",1 967
"Nordström",1 951
"Kotilainen",1 941
"Nenonen",1 928
"Tuomisto",1 926
"Ruuska",1 913
"Sinkkonen",1 903
"Kiiski",1 900
"Tervonen",1 891
"Nygård",1 888
"Sorsa",1 885
"Antila",1 883
"Koljonen",1 882
"Pietikäinen",1 880
"Sinisalo",1 880
"Laamanen",1 879
"Piiroinen",1 879
"Björklund",1 878
"Rajamäki",1 878
"Pikkarainen",1 867
"Suomela",1 863
"Tenhunen",1 851
"Ukkonen",1 846
"Lämsä",1 844
"Ekman",1 838
"Kekkonen",1 836
"Kuokkanen",1 836
"Huusko",1 835
"Siitonen",1 830
"Forsström",1 829
"Laitila",1 825
"Nyström",1 824
"Vuorio",1 823
"Paajanen",1 822
"Lind",1 813
"Neuvonen",1 808
"Leppälä",1 807
"Suomi",1 807
"Bergman",1 805
"Jylhä",1 795
"Junttila",1 792
"Alho",1 791
"Vanhanen",1 790
"Mäkitalo",1 789
"Lyytikäinen",1 788
"Saarelainen",1 787
"Kujanpää",1 784
"Arola",1 781
"Vepsäläinen",1 779
"Tahvanainen",1 772
"Pöyhönen",1 768
"Jantunen",1 767
"Sandberg",1 767
"Lempinen",1 765
"Suutari",1 761
"Vainionpää",1 759
"Hyytiäinen",1 758
"Närhi",1 757
"Wikström",1 754
"Hakanen",1 747
"Kontio",1 747
"Nyholm",1 747
"Pakkanen",1 746
"Tapio",1 744
"Helander",1 740
"Kosunen",1 738
"Hynninen",1 737
"Honkala",1 735
"Tuomainen",1 730
"Inkinen",1 725
"Hurme",1 724
"Minkkinen",1 718
"Kääriäinen",1 712
"Kaartinen",1 706
"Tauriainen",1 702
"Saukkonen",1 700
"Rintamäki",1 698
"Ekholm",1 697
"Palonen",1 694
"Nummela",1 685
"Piironen",1 682
"Pirhonen",1 679
"Pyykkö",1 667
"Kautto",1 664
"Puttonen",1 661
"Remes",1 660
"Lukkarinen",1 657
"Söderlund",1 657
"Itkonen",1 654
"Nurmela",1 646
"Määttänen",1 636
"Grönlund",1 635
"Halttunen",1 635
"Selin",1 635
"Romppanen",1 634
