"Etunimi","Lukumäärä"
"Juhani",284 716
"Olavi",142 397
"Antero",137 540
"Tapani",135 944
"Johannes",134 252
"Tapio",115 350
"Mikael",104 543
"Kalevi",94 295
"Matti",79 672
"Pekka",78 196
"Petteri",73 501
"Ilmari",70 308
"Sakari",64 596
"Matias",64 235
"Antti",55 606
"Juha",53 881
"Kristian",53 508
"Heikki",51 364
"Timo",48 737
"Mikko",45 167
"Kari",44 499
"Markus",43 389
"Jari",40 402
"Aleksi",40 241
"Jukka",39 946
"Markku",38 469
"Jaakko",37 840
"Kalervo",37 808
"Oskari",37 612
"Petri",36 841
"Mika",36 459
"Henrik",35 672
"Lauri",35 168
"Veikko",34 064
"Hannu",33 796
"Ville",33 279
"Erkki",32 802
"Seppo",32 342
"Valtteri",30 633
"Janne",29 955
"Ari",29 679
"Marko",29 570
"Ensio",29 307
"Tuomas",28 145
"Sami",27 745
"Pentti",26 844
"Juho",26 707
"Elias",26 578
"Eero",25 327
"Erik",25 062
"Martti",24 383
"Jani",24 095
"Samuli",23 455
"Onni",23 427
"Eemeli",23 420
"Jorma",22 585
"Jussi",22 360
"Harri",21 916
"Teemu",21 721
"Risto",21 006
"Eino",20 843
"Samuel",20 243
"Jarmo",20 186
"Veli",20 097
"Raimo",19 755
"Esa",19 690
"Pertti",19 300
"Pasi",19 194
"Jouni",18 965
"Arto",18 671
"Niko",18 580
"Viljami",18 439
"Olli",18 309
"Esko",18 269
"Joonas",18 227
"Vesa",18 081
"Kalle",17 961
"Emil",17 745
"Toivo",17 623
"Jouko",17 584
"Toni",17 560
"Oliver",17 351
"Reijo",17 201
"Leo",17 099
"Paavo",17 055
"Armas",16 750
"Johan",16 586
"Santeri",16 564
"Tomi",16 088
"Kimmo",16 013
"Väinö",15 602
"Henri",15 588
"Eetu",15 361
"Joni",15 335
"Daniel",15 056
"Tommi",15 032
"Tero",14 929
"Sebastian",14 412
"Alexander",14 358
"Ilkka",14 284
"Otto",14 139
"Pauli",13 873
"Ilari",13 714
"Eemil",13 520
"Anton",13 418
"Aleksanteri",13 070
"Uolevi",12 673
"Tuomo",12 537
"Jarkko",12 506
"Jalmari",12 392
"Jesse",12 351
"Joona",12 217
"Aulis",11 910
"Akseli",11 764
"Benjamin",11 332
"Vilho",10 996
"Arttu",10 928
"Julius",10 838
"Jere",10 813
"Joel",10 716
"Juuso",10 674
"Simo",10 568
"Allan",10 455
"Christian",10 388
"Leevi",10 351
"Niilo",10 328
"Einari",10 271
"Lasse",10 084
"Niklas",10 045
"Kullervo",9 943
"Keijo",9 921
"Jyrki",9 842
"Aukusti",9 701
"Jan",9 558
"Reino",9 468
"Elmeri",9 396
"Mauri",9 390
"Kaarlo",9 348
"Kauko",9 189
"Kai",9 094
"Artturi",8 930
"Aarne",8 858
"Juhana",8 854
"Aki",8 825
"Miika",8 780
"Rasmus",8 705
"Riku",8 554
"Veeti",8 502
"Topias",8 301
"Karl",8 291
"Yrjö",8 150
"Hermanni",8 113
"Peter",8 089
"Aatos",8 070
"Jarno",7 919
"Joonatan",7 791
"Eerik",7 732
"Aaro",7 706
"Rauno",7 447
"Tauno",7 391
"Teuvo",7 358
"Ossi",7 316
"Vilhelm",7 311
"Patrik",7 235
"Robert",7 185
"Viljo",7 108
"Arvo",6 970
"Roope",6 906
"Valdemar",6 905
"Eelis",6 874
"Anssi",6 853
"Ismo",6 783
"Osmo",6 710
"Aaron",6 703
"Atte",6 703
"Veijo",6 690
"Anders",6 648
"Taisto",6 644
"Rainer",6 634
"Henry",6 608
"Aapo",6 453
"Miro",6 381
"Kasper",6 263
"Asko",6 182
"Samu",6 106
"Taneli",6 104
"Aimo",6 044
"Henrikki",6 039
"Oskar",6 039
"Oiva",6 019
"Alex",5 862
"Verneri",5 804
"Lassi",5 790
"Edvard",5 768
"Tuukka",5 714
"Iisakki",5 681
"Kim",5 560
"Rafael",5 519
"Andreas",5 467
"Ahti",5 465
"Kasperi",5 399
"Aarre",5 386
"Vili",5 361
"August",5 351
"Mauno",5 334
"Vihtori",5 330
"Topi",5 326
"Wilhelm",5 274
"Lars",5 252
"Urho",5 214
"Aatu",5 213
"Albert",5 156
"Konsta",5 128
"Eeli",5 118
"Kustaa",5 118
"Alvar",5 046
"Jimi",5 043
"Miikka",5 036
"Fredrik",5 028
"Sulo",4 950
"Max",4 935
"Tarmo",4 898
"Nikolai",4 849
"Roni",4 822
"Joakim",4 816
"Hugo",4 764
"Alpo",4 698
"Veikka",4 697
"Tatu",4 669
"William",4 652
"Herman",4 612
"Michael",4 609
"Iivari",4 542
"Ilpo",4 503
"Unto",4 489
"Jyri",4 482
"Carl",4 470
"Sauli",4 466
"Saku",4 384
"Gustav",4 334
"Severi",4 329
"Tom",4 265
"Kaj",4 260
"Kyösti",4 205
"Otso",4 205
"Gunnar",4 106
"Lenni",4 067
"Rikhard",4 023
"Veli-Matti",4 002
"Iiro",3 903
"Thomas",3 878
"Pyry",3 873
"Martin",3 851
"Frans",3 849
"John",3 821
"Axel",3 804
"Hans",3 768
"Gabriel",3 721
"Noel",3 714
"Heimo",3 707
"Rami",3 698
"Oscar",3 693
"Jonne",3 673
"Voitto",3 664
"Jeremias",3 661
"Viktor",3 639
"Pietari",3 631
"Miska",3 613
"Arvi",3 520
"Hannes",3 509
"Luka",3 507
"Sampo",3 474
"Jami",3 413
"Pellervo",3 382
"Paul",3 375
"Edvin",3 331
"Juha-Pekka",3 325
"Luukas",3 316
"Olof",3 305
"Nooa",3 300
"Stefan",3 274
"Harry",3 250
"Teppo",3 238
"Aku",3 232
"Nico",3 223
"Leif",3 196
"Aleksander",3 160
"Göran",3 143
"Jasper",3 120
"Nils",3 103
"Miko",3 067
"Jukka-Pekka",3 029
"Tomas",3 025
"Tony",2 977
"Lucas",2 965
"Eliel",2 954
"Robin",2 939
"Arvid",2 935
"Perttu",2 928
"Anselmi",2 918
"Aarni",2 893
"Alfred",2 871
"Santtu",2 846
"Päiviö",2 826
"Ali",2 785
"Jonas",2 779
"Nestori",2 735
"Nuutti",2 734
"Richard",2 728
"Veli-Pekka",2 726
"Paavali",2 719
"Krister",2 711
"Aarno",2 694
"Sisu",2 679
"Lukas",2 657
"Peetu",2 642
"Eljas",2 595
"Mohamed",2 577
"Untamo",2 563
"Eevert",2 555
"Christer",2 541
"Panu",2 534
"Magnus",2 498
"Jonathan",2 494
"Marcus",2 491
"Mathias",2 487
"Klaus",2 466
"Viljam",2 464
"Patrick",2 454
"Jesper",2 433
"Eerikki",2 431
"Waltteri",2 421
"Terho",2 410
"Lennart",2 387
"Urpo",2 387
"Sven",2 371
"Juha-Matti",2 336
"Aapeli",2 323
"Ukko",2 293
"Kaapo",2 286
"Olli-Pekka",2 278
"Kenneth",2 273
"Ossian",2 246
"Justus",2 238
"Mattias",2 222
"Evert",2 205
